area_type,building,floor,area,shift,service_type,expected_count,frequency_unit
Jet Bridges,All Buildings,,All,Graveyard,Any Service,1,Daily
Restrooms,All Buildings,,All,Day,Any Service,1,Daily
Restrooms,All Buildings,,All,Swing,Any Service,1,Daily
Restrooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Religious Reflection,All Buildings,,All,Day,Any Service,1,Daily
Religious Reflection,All Buildings,,All,Swing,Any Service,2,Daily
Religious Reflection,All Buildings,,All,Graveyard,Any Service,1,Daily
Reception Areas,All Buildings,,All,Day,Any Service,1,Daily
Reception Areas,All Buildings,,All,Swing,Any Service,1,Daily
Reception Areas,All Buildings,,All,Graveyard,Any Service,1,Daily
Ramps,All Buildings,,All,Day,Any Service,1,Daily
Ramps,All Buildings,,All,Swing,Any Service,1,Daily
Pet Relief Areas,All Buildings,,All,Day,Any Service,3,Daily
Pet Relief Areas,All Buildings,,All,Swing,Any Service,3,Daily
Pet Relief Areas,All Buildings,,All,Graveyard,Any Service,1,Daily
People Movers,All Buildings,,All,Day,Any Service,2,Daily
People Movers,All Buildings,,All,Swing,Any Service,2,Daily
People Movers,All Buildings,,All,Graveyard,Any Service,1,Daily
Offices,All Buildings,,All,Day,Any Service,1,Daily
Mother's Rooms,All Buildings,,All,Day,Any Service,3,Daily
Mother's Rooms,All Buildings,,All,Swing,Any Service,3,Daily
Mother's Rooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Make-Up Carousels,All Buildings,,All,Day,Any Service,1,Daily
Make-Up Carousels,All Buildings,,All,Swing,Any Service,2,Daily
Make-Up Carousels,All Buildings,,All,Graveyard,Any Service,1,Daily
Locker Rooms,All Buildings,,All,Day,Any Service,1,Daily
Locker Rooms,All Buildings,,All,Swing,Any Service,1,Daily
Locker Rooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Kitchenettes,All Buildings,,All,Day,Any Service,1,Daily
Kitchenettes,All Buildings,,All,Swing,Any Service,2,Daily
Restrooms (Passenger),All Buildings,,All,Day,Any Service,2,Daily
Restrooms (Passenger),All Buildings,,All,Swing,Any Service,2,Daily
Restrooms (Passenger),All Buildings,,All,Graveyard,Any Service,2,Daily
Vestibules,All Buildings,,All,Day,Any Service,2,Daily
Vestibules,All Buildings,,All,Swing,Any Service,2,Daily
Vestibules,All Buildings,,All,Graveyard,Any Service,1,Daily
TSA Checkpoints,All Buildings,,All,Day,Any Service,3,Daily
TSA Checkpoints,All Buildings,,All,Swing,Any Service,3,Daily
TSA Checkpoints,All Buildings,,All,Graveyard,Any Service,1,Daily
Trashing/Compactor,All Buildings,,All,Day,Any Service,8,Daily
Trashing/Compactor,All Buildings,,All,Swing,Any Service,10,Daily
Trashing/Compactor,All Buildings,,All,Graveyard,Any Service,6,Daily
Ticketing,All Buildings,,All,Day,Any Service,3,Daily
Ticketing,All Buildings,,All,Swing,Any Service,3,Daily
Ticketing,All Buildings,,All,Graveyard,Any Service,1,Daily
Terrace,All Buildings,,All,Day,Any Service,1,Daily
Terrace,All Buildings,,All,Swing,Any Service,1,Daily
Storage Rooms,All Buildings,,All,Day,Any Service,1,Daily
Storage Rooms,All Buildings,,All,Swing,Any Service,1,Daily
Stairwells (Passenger),All Buildings,,All,Day,Any Service,2,Daily
Stairwells (Passenger),All Buildings,,All,Swing,Any Service,2,Daily
Stairwells (Passenger),All Buildings,,All,Graveyard,Any Service,1,Daily
Sleep Rooms,All Buildings,,All,Day,Any Service,1,Daily
Sleep Rooms,All Buildings,,All,Swing,Any Service,1,Daily
Shower Rooms,All Buildings,,All,Day,Any Service,1,Daily
Shower Rooms,All Buildings,,All,Swing,Any Service,1,Daily
Shower Rooms,All Buildings,,All,Graveyard,Any Service,1,Daily
Service Elevators,All Buildings,,All,Day,Any Service,1,Daily
Service Elevators,All Buildings,,All,Swing,Any Service,1,Daily
Service Elevators,All Buildings,,All,Graveyard,Any Service,1,Daily
Service Elevators,Concourse D,,All,Day,Any Service,3,Daily
Service Elevators,Concourse D,,All,Swing,Any Service,2,Daily
Service Elevators,Concourse D,,All,Graveyard,Any Service,1,Daily
Service Corridors,All Buildings,,All,Day,Any Service,1,Daily
Service Corridors,All Buildings,,All,Swing,Any Service,1,Daily
Service Corridors,All Buildings,,All,Graveyard,Any Service,1,Daily
